区站号,省份,站名,站类,经度,纬度,观测场拔海高度（米）,气压传感器拔海高度（米）
50659 ,黑龙江,克东,一般站,12614,4803,297.0 ,298.3 
50673 ,黑龙江,嘉荫,一般站,13024,4853,90.4 ,92.3 
50674 ,黑龙江,乌伊岭,基准站,12926,4834,404.5 ,406.0 
50727,内蒙古,阿尔山,基本站,11956,4710,997.2 ,998.3 
50739 ,黑龙江,龙江,基本站,12315,4718,209.3 ,209.9 
50741 ,黑龙江,甘南,一般站,12330,4756,185.2 ,186.3 
50742 ,黑龙江,富裕,基准站,12429,4748,162.7 ,163.8 
50745 ,黑龙江,齐齐哈尔,基本站,12355,4723,147.1 ,148.0 
50749 ,黑龙江,林甸,一般站,12450,4711,154.6 ,156.1 
50750 ,黑龙江,依安,一般站,12518,4754,226.4 ,227.9 
50755 ,黑龙江,拜泉,一般站,12604,4737,249.8 ,251.2 
50756 ,黑龙江,海伦,基准站,12652,4727,247.4 ,248.0 
50758 ,黑龙江,明水,基本站,12554,4709,240.0 ,241.2 
50767 ,黑龙江,绥棱,一般站,12706,4714,202.7 ,204.0 
50772 ,黑龙江,五营,一般站,12914,4806,288.0 ,289.4 
50774 ,黑龙江,伊春,基本站,12850,4742,264.8 ,265.8 
50775 ,黑龙江,鹤岗,一般站,13012,4720,182.3 ,183.3 
50776 ,黑龙江,萝北,一般站,13050,4734,83.3 ,84.7 
50778 ,黑龙江,同江,基准站,13232,4740,57.5 ,58.5 
50779 ,黑龙江,抚远,一般站,13417,4822,40.0 ,41.2 
50787 ,黑龙江,绥滨,一般站,13150,4719,62.7 ,63.7 
50788 ,黑龙江,富锦,基本站,13159,4714,66.4 ,68.4 
50834,内蒙古,索伦,基准站,12113,4636,499.7 ,501.0 
50842 ,黑龙江,杜蒙,一般站,12425,4650,145.4 ,146.9 
50844 ,黑龙江,泰来,基本站,12327,4624,138.8 ,139.5 
50850 ,黑龙江,大庆,一般站,12508,4634,147.2 ,148.4 
50851 ,黑龙江,青冈,一般站,12605,4641,207.4 ,208.8 
50852 ,黑龙江,望奎,一般站,12627,4650,169.1 ,170.4 
50853 ,黑龙江,北林,基本站,12658,4637,179.6 ,181.2 
50854 ,黑龙江,安达,基本站,12519,4623,149.3 ,150.4 
50858 ,黑龙江,肇东,一般站,12548,4601,159.5 ,161.0 
50859 ,黑龙江,兰西,一般站,12617,4617,169.3 ,169.9 
50861 ,黑龙江,庆安,一般站,12729,4653,182.4 ,183.2 
50862 ,黑龙江,铁力,基本站,12759,4659,206.0 ,207.0 
50867 ,黑龙江,巴彦,一般站,12721,4605,134.1 ,135.5 
50871 ,黑龙江,汤原,一般站,12953,4644,95.1 ,96.4 
50873 ,黑龙江,佳木斯,基准站,13018,4647,82.0 ,83.1 
50877 ,黑龙江,依兰,基本站,12935,4618,100.1 ,101.6 
50878 ,黑龙江,桦川,一般站,13043,4700,78.2 ,79.2 
50879 ,黑龙江,桦南,一般站,13033,4613,187.0 ,188.0 
50880 ,黑龙江,集贤,一般站,13107,4644,102.3 ,103.9 
50884 ,黑龙江,双鸭山,一般站,13109,4638,175.3 ,176.8 
50888 ,黑龙江,宝清,基本站,13210,4623,79.6 ,80.6 
50892 ,黑龙江,饶河,一般站,13400,4648,54.4 ,55.3 
50913,内蒙古,乌拉盖,一般站,11850,4543,865.0 ,866.1 
50915,内蒙古,东乌珠穆沁,基本站,11658,4531,838.9 ,839.9 
50924,内蒙古,霍林郭勒,基准站,11939,4533,860.0 ,861.0 
50928,内蒙古,巴雅尔吐胡硕,一般站,12020,4504,628.3 ,629.8 
50934,内蒙古,突泉,一般站,12135,4523,311.7 ,312.7 
50936 ,吉林,白城,基准站,12250,4538 ,155.3 ,156.2 
50937,内蒙古,科尔沁右翼中旗,一般站,12129,4504,282.1 ,283.1 
50939 ,吉林,洮南,一般站,12249,4520 ,150.8 ,154.9 
50940 ,吉林,镇赉,一般站,12310,4551 ,141.1 ,142.0 
50945 ,吉林,大安,基本站,12414,4530 ,138.1 ,139.7 
50946 ,吉林,松原,一般站,12450,4511 ,139.8 ,141.3 
50948 ,吉林,乾安,基本站,12401,4500 ,146.3 ,147.9 
50949 ,吉林,前郭,基本站,12452,4505 ,136.2 ,137.4 
50950 ,黑龙江,肇州,基准站,12515,4542,148.7 ,150.2 
50953 ,黑龙江,哈尔滨,基本站,12634,4556,118.3 ,119.0 
50954 ,黑龙江,肇源,一般站,12505,4530,127.5 ,123.0 
50956 ,黑龙江,呼兰,一般站,12646,4605,134.5 ,135.3 
50958 ,黑龙江,阿城,一般站,12656,4532,168.2 ,169.7 
50960 ,黑龙江,宾县,一般站,12723,4544,184.2 ,185.7 
50962 ,黑龙江,木兰,一般站,12802,4557,112.1 ,113.5 
50963 ,黑龙江,通河,基本站,12844,4558,108.6 ,110.0 
50964 ,黑龙江,方正,一般站,12848,4550,119.3 ,120.2 
50965 ,黑龙江,延寿,一般站,12816,4526,167.2 ,168.3 
50968 ,黑龙江,尚志,基准站,12758,4513,189.7 ,191.0 
50971 ,黑龙江,七台河,一般站,13101,4546,223.5 ,225.1 
50973 ,黑龙江,勃利,基本站,13036,4545,234.4 ,235.2 
50978 ,黑龙江,鸡西,基本站,13055,4518,272.5 ,273.1 
50979 ,黑龙江,林口,一般站,13014,4516,274.7 ,275.7 
50983 ,黑龙江,虎林,基本站,13258,4546,100.2 ,101.1 
50985 ,黑龙江,密山,一般站,13152,4533,151.7 ,153.1 
50987 ,黑龙江,鸡东,一般站,13106,4516,219.9 ,220.9 
51053 ,新疆,哈巴河,基本站,8624,4803,532.6 ,533.7 
51058 ,新疆,阿克达拉,一般站,8758,4706,563.3 ,564.3 
51060 ,新疆,布尔津,基本站,8652,4742,473.9 ,474.9 
51068 ,新疆,福海,基本站,8729,4707,497.0 ,498.0 
51076 ,新疆,阿勒泰,基准站,8805,4744,735.3 ,736.5 
51087 ,新疆,富蕴,基本站,8930,4701,860.4 ,861.5 
51133 ,新疆,塔城,基准站,8300,4644,534.9 ,536.0 
51137 ,新疆,裕民,一般站,8256,4612,715.4 ,715.7 
51145 ,新疆,额敏,一般站,8339,4633,521.6 ,523.1 
51156 ,新疆,和布克赛尔,基准站,8545,4649,1322.1 ,1323.2 
51232 ,新疆,阿拉山口,基本站,8233,4511,369.8 ,371.3 
51238 ,新疆,博乐,基本站,8204,4454,532.2 ,533.2 
51241 ,新疆,托里,基本站,8336,4556,1094.2 ,1095.1 
51243 ,新疆,克拉玛依,基本站,8451,4537,450.3 ,451.1 
51334,新疆,精河,基本站,8249,4434,329.2 ,330.2 
51357 ,新疆,沙湾,一般站,8537,4420,522.2 ,523.7 
51359 ,新疆,玛纳斯,一般站,8612,4419,471.4 ,472.9 
51367,新疆,呼图壁,基本站,8651,4410,575.1 ,576.2 
51368 ,新疆,昌吉,一般站,8719,4407,515.7 ,516.7 
51369 ,新疆,米泉,一般站,8739,4358,600.3 ,601.3 
51377 ,新疆,阜康,一般站,8755,4410,547.0 ,547.9 
51378 ,新疆,吉木萨尔,一般站,8910,4400,742.9 ,744.0 
51468 ,新疆,天山大西沟,一般站,8650,4306,3539.0 ,3540.2 
51469 ,新疆,乌鲁木齐牧试站,基本站,8711,4327,1930.0 ,1931.0 
51470 ,新疆,天池,基准站,8807,4353,1942.5 ,1943.3 
51477 ,新疆,达坂城,基本站,8819,4321,1103.5 ,1104.4 
51482 ,新疆,木垒,一般站,9017,4350,1271.5 ,1272.5 
51526 ,新疆,库米什,基本站,8813,4214,922.4 ,924.0 
51542 ,新疆,巴音布鲁克,基本站,8409,4302,2458.0 ,2459.4 
51567 ,新疆,焉耆,基准站,8634,4205,1055.3 ,1056.5 
51571 ,新疆,托克逊,一般站,8836,4246,49.5 ,50.7 
51572 ,新疆,吐鲁番东坎,一般站,8915,4250,(48.7),(47.2)
51573 ,新疆,吐鲁番,基本站,8914,4257,39.3 ,40.2 
51627 ,新疆,乌什,一般站,7914,4113,1395.8 ,1397.4 
51628 ,新疆,阿克苏,基准站,8023,4107,1107.1 ,1108.1 
51636 ,新疆,新和,一般站,8239,4133,1009.8 ,1010.8 
51639 ,新疆,沙雅,基本站,8247,4114,980.4 ,981.4 
51656 ,新疆,库尔勒,基本站,8549,4144,899.8 ,901.3 
51704 ,新疆,阿图什,基本站,7610,3943,1298.7 ,1299.7 
51705 ,新疆,乌恰,基本站,7515,3943,2175.7 ,2176.7 
51707 ,新疆,伽师,一般站,7647,3930,1204.7 ,1206.3 
51709,新疆,喀什,基准站,7545,3929,1385.6 ,1386.7 
51717 ,新疆,岳普湖,一般站,7647,3915,1206.3 ,1207.7 
51720 ,新疆,柯坪,基本站,7903,4030,1161.8 ,1162.5 
51722 ,新疆,阿瓦提,一般站,8024,4039,1044.3 ,1045.1 
51730 ,新疆,阿拉尔,基本站,8116,4033,1012.2 ,1013.1 
51747 ,新疆,塔中,基准站,8340,3900,1099.3 ,1100.0 
51765 ,新疆,铁干里克,基准站,8742,4038,846.0 ,847.0 
51802 ,新疆,英吉沙,一般站,7610,3856,1297.5 ,1299.0 
51810 ,新疆,麦盖提,基本站,7738,3855,1178.2 ,1179.2 
51811 ,新疆,莎车,基本站,7716,3826,1231.2 ,1232.2 
51814 ,新疆,叶城,一般站,7724,3755,1360.4 ,1361.8 
51815 ,新疆,泽普,一般站,7716,3812,1274.7 ,1276.2 
51818 ,新疆,皮山,基本站,7817,3737,1375.4 ,1376.4 
51826 ,新疆,策勒,一般站,8048,3701,1336.5 ,1338.0 
51827,新疆,墨玉,一般站,7938,3710,1348.9 ,1350.1 
51828 ,新疆,和田,基准站,7956,3708,1375.0 ,1376.0 
51829 ,新疆,洛浦,一般站,8014,3703,1295.6 ,1297.1 
51839 ,新疆,民丰,基准站,8243,3704,1409.5 ,1410.5 
51855 ,新疆,且末,基准站,8533,3809,1247.2 ,1248.4 
51931 ,新疆,于田,基本站,8139,3651,1422.0 ,1423.0 
52101 ,新疆,巴里坤,基本站,9303,4336,1679.4 ,1680.4 
52112 ,新疆,淖毛湖,基本站,9459,4345,479.0 ,480.0 
52118 ,新疆,伊吾,基本站,9442,4316,1728.6 ,1729.6 
52203 ,新疆,哈密,基准站,9331,4249,737.2 ,738.2 
52313 ,新疆,红柳河,基准站,9440,4132,1573.8 ,1574.8 
52323,甘肃,马鬃山,基准站,9702,4148,1770.4 ,1772.0 
52515,甘肃,肃北,一般站,9452,3931 ,2137.2 ,2138.8 
52533,甘肃,酒泉,基准站,9829,3946,1477.2 ,1478.8 
52546,甘肃,高台,基本站,9950,3922,1332.2 ,1333.8 
52557,甘肃,临泽,一般站,10010,3909,1453.7 ,1455.3 
52602 ,青海,冷湖,基准站,9320,3845 ,2770.0 ,2770.8 
52643,甘肃,肃南,一般站,9937,3850,2311.8 ,2313.4 
52652,甘肃,张掖,基准站,10017,3905,1461.1 ,1462.7 
52656,甘肃,民乐,一般站,10049,3828,2232.0 ,2233.5 
52674,甘肃,永昌,基本站,10156,3813,2093.9 ,2095.4 
52679,甘肃,武威,基本站,10240,3755,1531.5 ,1533.0 
52681,甘肃,民勤,基准站,10305,3838,1367.5 ,1369.1 
52707 ,青海,小灶火,基本站,9341,3648 ,2767.0 ,2767.8 
52784,甘肃,古浪,一般站,10254,3728 ,2072.4 ,2074.0 
52787,甘肃,乌鞘岭,基准站,10252,3712,3045.1 ,3046.7 
52797,甘肃,景泰,基本站,10403,3711,1630.9 ,1632.5 
52818 ,青海,格尔木,基准站,9455,3625 ,2807.6 ,2808.4 
52825 ,青海,诺木洪,基准站,9626,3626 ,2790.4 ,2791.2 
52836 ,青海,都兰,基本站,9806,3618 ,3189.0 ,3189.8 
52854 ,青海,青海湖151,一般站,10029,3635,3200.8,3201.6 
52856 ,青海,共和,基本站,10037,3616 ,2835.0 ,2835.8 
52863 ,青海,互助,一般站,10157,3649 ,2480.0 ,2480.8 
52866 ,青海,西宁,基本站,10145,3644,2295.2 ,2296.0 
52868 ,青海,贵德,基本站,10122 ,3601,2273.0 ,2273.8 
52869 ,青海,湟中,一般站,10135,3630,2667.5 ,2668.3 
52875 ,青海,平安,一般站,10206,3630 ,2125.0 ,2125.8 
52876 ,青海,民和,基准站,10250,3620,1813.9 ,1814.7 
52877 ,青海,化隆,一般站,10215,3606,2834.7 ,2835.5 
52881,甘肃,天祝,一般站,10311,3659,2484.8 ,2486.4 
52884,甘肃,皋兰,基准站,10357 ,3621 ,1668.5 ,1670.1 
52885,甘肃,永登,一般站,10315 ,3645 ,2118.8 ,2120.4 
52895,甘肃,靖远,基本站,10441,3634,1398.2 ,1400.0 
52896,甘肃,白银,一般站,10409,3633,1736.7 ,1738.2 
52908 ,青海,五道梁,基本站,9305,3513 ,4612.2 ,4613.0 
52941 ,青海,沙珠玉,一般站,10016,3616,2872.0,2872.8 
52943 ,青海,兴海,基准站,9959,3535 ,3323.2 ,3324.0 
52955 ,青海,贵南,基本站,10044,3535 ,3120.0 ,3120.8 
52957 ,青海,同德,一般站,10036,3515 ,3148.2 ,3149.0 
52963 ,青海,尖扎,一般站,10201,3556 ,2085.7 ,2086.5 
52968 ,青海,泽库,一般站,10128,3502 ,3662.8 ,3663.6 
52972,青海,循化,一般站,10227,3551,1921.0 ,1921.8 
52974 ,青海,同仁,基本站,10202,3533 ,2475.0 ,2475.8 
52978,甘肃,夏河,一般站,10230,3511,2948.3 ,2949.9 
52980,甘肃,永靖,一般站,10318,3558,1648.0 ,1649.7 
52981,甘肃,东乡,一般站,10323,3541,2421.0 ,2422.2 
52982,甘肃,广河,一般站,10333,3529,1953.2 ,1954.4 
52983,甘肃,榆中,基准站,10409 ,3552 ,1874.4 ,1876.1 
52984,甘肃,临夏,基本站,10311,3535,1917.2 ,1918.4 
52985,甘肃,和政,一般站,10320,3525,2162.8 ,2164.2 
52986,甘肃,临洮,基本站,10352,3522 ,1893.8 ,1895.4 
52988,甘肃,康乐,一般站,10343,3522,2015.8 ,2017.3 
52993,甘肃,会宁,一般站,10504 ,3541,1739.4 ,1740.9 
52995,甘肃,安定,一般站,10437,3535 ,1897.2 ,1898.7 
52996,甘肃,华家岭,基本站,10501,3523 ,2450.6 ,2452.2 
52998,甘肃,渭源,一般站,10412,3508 ,2111.0 ,2112.6 
53068,内蒙古,二连浩特,基准站,11156,4338,963.1 ,964.6 
53083,内蒙古,那仁宝力格,基本站,11409,4437,1181.6 ,1182.9 
53149,内蒙古,满都拉气象站,基本站,11008,4232,1225.2 ,1226.1 
53192,内蒙古,阿巴嘎旗,基本站,11500,4401,1147.7 ,1148.7 
53231,内蒙古,海力素,基准站,10624,4124,1510.2 ,1511.1 
53289,内蒙古,镶黄旗,一般站,11350,4214,1322.1 ,1322.8 
53336,内蒙古,乌拉特中旗,基准站,10831,4134,1288.0 ,1289.2 
53337,内蒙古,五原,一般站,10828,4105,1023.3 ,1024.3 
53348,内蒙古,大佘太,一般站,10908,4101,1078.7 ,1080.2 
53352,内蒙古,达茂旗,基本站,11026,4142,1376.6 ,1377.5 
53357,内蒙古,固阳,一般站,11006,4102,1403.1 ,1404.1 
53362,内蒙古,四子王,基本站,11141,4132,1490.1 ,1491.4 
53367,内蒙古,希拉穆仁,基准站,11114,4119,1602.3 ,1603.3 
53368,内蒙古,武川县,一般站,11128,4105,1637.3 ,1638.3 
53378,内蒙古,察右中旗,一般站,11237,4117,1737.3 ,1737.9 
53384,内蒙古,察右后旗,一般站,11311,4127,1423.5 ,1425.0 
53385,内蒙古,商都,一般站,11332,4135,1420.0 ,1421.0 
53391,内蒙古,化德,基本站,11400,4154,1482.7 ,1483.7 
53392 ,河北,康保,一般站,11435,4151 ,1428.1 ,1429.3 
53397 ,河北,尚义,一般站,11359,4106 ,1376.5 ,1377.7 
53399 ,河北,张北,基准站,11442,4109 ,1393.3 ,1394.4 
53419,内蒙古,磴口,一般站,10700,4020,1055.3 ,1056.8 
53420,内蒙古,杭锦后旗,一般站,10707,4051,1024.0 ,1024.9 
53433,内蒙古,乌拉特前旗,一般站,10839,4044,1020.4 ,1021.9 
53446,内蒙古,包头市,基本站,10953,4032,1004.7 ,1005.6 
53455,内蒙古,土右旗气象局,一般站,11032,4033,998.6 ,1000.1 
53457,内蒙古,达拉特旗,一般站,11002,4024,1011.0 ,1012.2 
53463,内蒙古,呼和浩特,基本站,11134,4051,1153.5 ,1154.4 
53464,内蒙古,土默特左旗,一般站,11110,4043,1042.7 ,1043.7 
53466,内蒙古,呼和浩特郊区站,一般站,11142,4045,1045.4 ,1046.3 
53467,内蒙古,托克托县,一般站,11115,4015,1015.9 ,1016.9 
53469,内蒙古,和林格尔县,一般站,11149,4024,1166.7 ,1167.7 
53472,内蒙古,卓资,一般站,11234,4052,1451.7 ,1453.2 
53475,内蒙古,凉城,一般站,11228,4031,1268.9 ,1272.2 
53478 ,山西,右玉,基本站,11227,4000 ,1345.8 ,1346.8 
53480,内蒙古,集宁,基本站,11304,4102,1419.3 ,1420.3 
53481,内蒙古,察右前旗,一般站,11313,4048,1316.8 ,1317.1 
53483,内蒙古,兴和,一般站,11350,4052,1268.7 ,1269.9 
53484,内蒙古,丰镇,一般站,11309,4027,1191.5 ,1193.0 
53486 ,山西,阳高,一般站,11346,4022 ,1050.3 ,1051.2 
53487 ,山西,大同,基本站,11325,4005 ,1052.6 ,1053.6 
53488 ,山西,大同县,一般站,11335,4002 ,1034.3 ,1035.7 
53490 ,山西,天镇,基本站,11403,4026 ,1014.7 ,1015.7 
53491 ,河北,怀安,一般站,11423,4040,837.7 ,838.8 
53492 ,河北,阳原,一般站,11409,4006 ,937.6 ,938.7 
53498 ,河北,宣化,一般站,11502,4034 ,629.3 ,630.5 
53499 ,河北,万全,一般站,11444,4046 ,755.2 ,756.2 
53512,内蒙古,乌海,一般站,10648,3948,1105.6 ,1106.8 
53513,内蒙古,临河,基本站,10722,4044,1041.1 ,1042.1 
53517 ,宁夏,石炭井,一般站,10620,3916 ,1464.5 ,1466.0 
53518 ,宁夏,石嘴山,一般站,10621,3902 ,1117.7 ,1119.2 
53519 ,宁夏,惠农,基本站,10646,3913 ,1092.5 ,1093.1 
53522,内蒙古,伊克乌素,一般站,10750,4003,1180.3 ,1181.4 
53529,内蒙古,鄂托克旗,基本站,10758,3905,1381.4 ,1382.4 
53533,内蒙古,杭锦旗,一般站,10843,3949,1414.0 ,1415.5 
53543,内蒙古,东胜,基本站,10959,3950,1461.9 ,1463.1 
53545,内蒙古,伊金霍洛旗,一般站,10943,3934,1367.0 ,1368.0 
53553,内蒙古,准格尔旗,一般站,11113,3952,1221.4 ,1222.9 
53562,内蒙古,清水河县,一般站,11140,3955,1208.0 ,1209.0 
53564 ,山西,河曲,基本站,11113,3922 ,1036.0 ,1037.0 
53565 ,山西,偏关,一般站,11130,3926 ,1051.7 ,1053.2 
53567 ,陕西,府谷,一般站,11100,3901,1024.3 ,1025.1 
53573 ,山西,左云,一般站,11242,4000 ,1336.3 ,1337.7 
53574 ,山西,平鲁,一般站,11216,3931 ,1409.4 ,1410.8 
53575 ,山西,神池,一般站,11212,3906 ,1525.4 ,1526.9 
53576 ,山西,山阴,一般站,11249,3930 ,1045.0 ,1045.9 
53577 ,山西,宁武,一般站,11218,3900 ,1437.4 ,1438.9 
53578 ,山西,朔州,基本站,11226,3922 ,1114.8 ,1115.7 
53579 ,山西,代县,基准站,11254,3901 ,859.7 ,860.6 
53582 ,山西,浑源,一般站,11340,3943 ,1079.2 ,1080.7 
53584 ,山西,应县,一般站,11310,3934 ,1000.7 ,1002.2 
53585 ,山西,繁峙,一般站,11316,3910 ,933.9 ,935.4 
53588 ,山西,五台山,基本站,11331,3857 ,2208.3 ,2209.3 
53590 ,山西,广灵,一般站,11416,3945 ,977.8 ,979.3 
53593 ,河北,蔚县,基本站,11434,3950 ,909.5 ,910.7 
53594 ,山西,灵丘,基本站,11411,3927 ,938.7 ,939.6 
53596 ,河北,顺平,一般站,11509 ,3855,80.7 ,81.9 
53599 ,河北,涞源,一般站,11441 ,3922,884.4 ,885.6 
53603 ,宁夏,沙湖,一般站,10622,3850 ,1095.0 ,1096.5 
53610 ,宁夏,贺兰,一般站,10621,3834 ,1106.2 ,1107.0 
53611 ,宁夏,平罗,一般站,10633,3853,1098.7 ,1100.2 
53612 ,宁夏,吴忠,基本站,10611,3759 ,1128.8 ,1132.2 
53614 ,宁夏,银川,基准站,10612,3828 ,1110.9 ,1111.6 
53615 ,宁夏,陶乐,基本站,10642,3848 ,1101.6 ,1102.9 
53617 ,宁夏,青铜峡,一般站,10605,3802 ,1118.0 ,1119.2 
53618 ,宁夏,永宁,一般站,10615,3817 ,1113.7 ,1115.2 
53619 ,宁夏,灵武,一般站,10618,3807 ,1115.9 ,1117.4 
53644,内蒙古,乌审旗,一般站,10850,3836,1307.2 ,1308.4 
53646 ,陕西,榆林,基本站,10947,3816 ,1157.0 ,1157.8 
53651 ,陕西,神木,基本站,11028,3849 ,1098.0 ,1099.1 
53658 ,陕西,佳县,一般站,11029,3802 ,894.4 ,895.4 
53659 ,山西,临县,一般站,11100,3758 ,1163.3 ,1164.8 
53660 ,山西,保德,一般站,11105,3901 ,894.4 ,895.8 
53662 ,山西,岢岚,一般站,11135,3843 ,1396.7 ,1397.7 
53663 ,山西,五寨,基准站,11149,3855 ,1401.0 ,1402.0 
53664 ,山西,兴县,基本站,11108,3828 ,1012.6 ,1013.6 
53665 ,山西,岚县,一般站,11139,3817 ,1185.1 ,1186.0 
53666 ,山西,静乐,一般站,11156,3821 ,1212.2 ,1213.7 
53669 ,山西,娄烦,一般站,11148,3805 ,1150.3 ,1151.7 
53673 ,山西,原平,基本站,11243,3844 ,828.2 ,829.6 
53674 ,山西,忻府区,一般站,11242,3824 ,869.9 ,871.4 
53676 ,山西,定襄,一般站,11259,3830 ,759.4 ,760.4 
53677 ,山西,尖草坪,一般站,11229,3756 ,806.5 ,807.4 
53678 ,山西,阳曲,一般站,11239,3804 ,897.1 ,898.6 
53679,山西,小店,一般站,11233,3745 ,776.2 ,777.2 
53680 ,河北,灵寿,一般站,11423,3818 ,108.9 ,110.1 
53681 ,山西,五台县豆村,一般站,11322,3850 ,1096.2 ,1097.7 
53682 ,河北,曲阳,一般站,11441 ,3838,104.1 ,105.3 
53685 ,山西,盂县,一般站,11325,3804 ,953.2 ,954.6 
53687 ,山西,平定,基本站,11338,3747 ,753.0 ,753.8 
53688 ,河北,行唐,一般站,11433,3825,100.3 ,101.8 
53689 ,河北,晋州,一般站,11504,3801 ,42.4 ,43.5 
53690 ,河北,阜平,一般站,11411 ,3851,281.9 ,283.1 
53691 ,河北,正定,一般站,11434,3809 ,71.0 ,72.1 
53692 ,河北,唐县,一般站,11459 ,3844,66.5 ,67.6 
53693 ,河北,井陉,一般站,11408,3802 ,255.5 ,256.6 
53694 ,河北,平山,一般站,11413,3816 ,131.0 ,132.0 
53695 ,河北,新乐,一般站,11441,3821 ,70.8 ,72.0 
53696 ,河北,定州,一般站,11501,3833,41.9 ,42.8 
53697 ,河北,藁城,一般站,11450,3802 ,53.5 ,54.6 
53699 ,河北,无极,一般站,11457,3811 ,45.4 ,46.6 
53704 ,宁夏,中卫,基本站,10511,3732 ,1225.7 ,1226.6 
53705 ,宁夏,中宁,基本站,10541,3729 ,1183.4 ,1184.4 
53707 ,宁夏,兴仁,一般站,10515,3656 ,1697.9 ,1699.4 
53723 ,宁夏,盐池,基本站,10723,3748 ,1349.3 ,1350.4 
53725 ,陕西,定边,基准站,10735,3735 ,1360.3 ,1361.2 
53727 ,宁夏,麻黄山,一般站,10707,3710 ,1712.5 ,1713.8 
53730,内蒙古,鄂托克前旗,一般站,10729,3811,1333.3 ,1334.4 
53732,内蒙古,河南,一般站,10843,3751,1209.9 ,1211.1 
53735 ,陕西,靖边,基本站,10848,3737 ,1336.7 ,1337.8 
53738 ,陕西,吴起,基本站,10810,3655 ,1331.4 ,1332.0 
53740 ,陕西,横山,基本站,10914,3756 ,1111.0 ,1112.0 
53748 ,陕西,子长,一般站,10942,3711 ,1063.3 ,1064.4 
53750 ,陕西,米脂,一般站,11011,3746 ,931.0 ,931.6 
53751 ,陕西,子洲,一般站,11003,3736 ,894.6 ,895.8 
53753 ,山西,柳林,一般站,11053,3726 ,860.1 ,861.6 
53754 ,陕西,绥德,基准站,11013,3730 ,929.7 ,930.7 
53756 ,陕西,吴堡,一般站,11043,3731 ,744.0 ,745.0 
53757 ,陕西,清涧,一般站,11007,3707 ,938.0 ,938.8 
53759 ,山西,石楼,一般站,11050,3659 ,1109.1 ,1110.7 
53760 ,山西,方山,一般站,11114,3753 ,1212.4 ,1213.3 
53763 ,山西,古交,一般站,11210,3755 ,1006.8 ,1008.3 
53764 ,山西,离石,基本站,11106,3730 ,950.8 ,951.7 
53767 ,山西,中阳,一般站,11110,3720 ,1213.1 ,1214.6 
53768 ,山西,孝义,一般站,11145,3709 ,773.4 ,774.3 
53769 ,山西,汾阳,一般站,11147,3715 ,747.7 ,749.1 
53770 ,山西,祁县,一般站,11221,3721 ,768.8 ,770.1 
53771 ,山西,文水,一般站,11203,3725 ,750.0 ,751.3 
53772 ,山西,太原,基本站,11235,3737 ,776.3 ,777.3 
53773 ,河北,临漳,一般站,11437 ,3620,64.6 ,65.8 
53774,山西,清徐,一般站,11222,3735 ,759.9 ,760.9 
53775,山西,太谷,基本站,11236,3725 ,785.8 ,786.7 
53776 ,山西,榆次,一般站,11246,3741 ,831.2 ,832.6 
53777 ,山西,交城,一般站,11209,3731 ,753.6 ,754.6 
